J.D.-2400000,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_C10,rel_flux_C11,rel_flux_C12,rel_flux_C13,rel_flux_C14,rel_flux_C15,rel_flux_C16,rel_flux_C17,rel_flux_C18,rel_flux_C19,rel_flux_C20,rel_flux_C21,rel_flux_C22,rel_flux_C23,rel_flux_C24,rel_flux_C25
60016.64815,0.000860731,8.66924E-05,0.001063718,-1.27369E-06,-9.91233E-05,8.82779E-06,0.000252764,0.05415329,0.000277687,0.048592543,0.006017246,0.00078599,-0.000347828,0.02649696,0.234464604,0.19232457,0.183698019,0.028808388,0.300027894,0.009523083,0.043722256,0.001155834,0.0002797,-0.000199394
60016.6489,0.000258246,0.00016273,-0.000178056,0.000773396,-0.000183276,0.00047311,-0.000309475,0.047367791,0.000496951,0.041665745,0.005355662,-0.000243529,9.82669E-06,0.023454246,0.197058275,0.162630709,0.155321256,0.024846413,0.248892128,0.008315506,0.038505665,0.00154344,-0.000755001,-5.95185E-05
60016.64965,0.00034103,0.000441754,-0.000452612,0.000368743,0.000898923,0.000188264,0.00069922,0.057681575,-0.000278623,0.050619381,0.008799666,0.000598589,0.000361418,0.028122994,0.25081286,0.20503434,0.194039275,0.030509755,0.324053319,0.009658972,0.000492555,0.002136164,0.00053589,-8.16671E-05
60016.65041,0.000297969,0.069280169,0.000102008,0.000220798,-0.000166683,0.000395821,-0.000233063,0.053098165,0.000592285,0.046863475,-0.000142531,0.000471685,0.144623392,-0.000456058,0.000253073,0.187175696,0.177860026,0.028450499,0.001165098,0.000279961,-7.03165E-05,0.001321619,0.000259888,0.000849883
60016.65115,0.047279117,-8.56683E-06,-0.00025994,0.045302593,0.000185987,0.000444656,0.000191156,0.0465119,0.000392283,0.04038845,0.03990953,0.000662691,0.123902699,0.022604516,-0.000145816,0.158384942,0.152181736,0.023882672,0.000226242,-0.000136332,0.000118262,0.02292527,0.055036902,0.030573042
60016.6519,0.00062549,4.77673E-05,0.000397145,0.000949761,-3.75444E-06,0.000252876,0.000532078,0.047384745,0.00018253,0.042478583,0.00579208,3.14684E-05,-0.000406267,0.000410511,0.201899136,0.167431943,0.159268081,0.024934974,0.258163921,0.008307842,0.039203513,0.020392171,0.049360341,0.027902495
60016.65265,0.000238739,0.000338755,0.001011738,0.000260381,-0.000116758,0.000888834,-6.90184E-06,0.065154329,3.60698E-05,0.058052655,0.010625892,0.000176412,0.183147756,0.032396332,0.295100924,0.238885533,0.228909847,0.035617837,0.000421113,0.000200291,0.000358396,0.022410953,0.054192721,0.030504155
60016.6534,-5.79821E-05,-0.00113029,-0.000672646,0.000623754,-3.48653E-06,0.000475537,-0.000252151,0.055329697,-0.000283389,0.048855004,0.007803023,0.000303405,-0.000303133,0.026430123,0.237104478,0.195368769,0.187000432,0.029458127,0.303135608,0.000127534,0.044401711,0.000507829,0.053257138,0.030725236
60016.65414,0.000266877,0.001068541,-0.000297727,0.000136008,0.001395617,-0.000308095,0.000507445,0.054174855,-0.000168996,0.047203595,0.009130724,-0.000235048,3.93373E-05,0.025967042,0.235180477,0.19213609,0.184230602,0.028719038,0.300753244,0.009206759,0.044183081,0.021146533,0.050639718,0.029232471
60016.6549,0.000712923,0.00015082,0.000402282,0.000472349,0.000258232,-8.46938E-05,0.000727721,0.061070013,-3.18457E-05,0.054462812,0.00719347,0.000745551,0.170486036,0.028756294,0.270839108,0.222874148,0.210811519,0.032414435,-0.000615846,-8.14584E-05,0.050602876,0.022233235,0.053730712,0.030397849
